region,region_abbrev,period,period_start,period_mid,stratum_abbrev,protestant_dummy
Belgium,BE,1575-1599,1575,1587.5,BE-1575-1599,
Belgium,BE,1600-1624,1600,1612.5,BE-1600-1624,
Belgium,BE,1625-1649,1625,1637.5,BE-1625-1649,
Belgium,BE,1650-1674,1650,1662.5,BE-1650-1674,
Belgium,BE,1675-1699,1675,1687.5,BE-1675-1699,
Belgium,BE,1700-1724,1700,1712.5,BE-1700-1724,
Belgium,BE,1725-1749,1725,1737.5,BE-1725-1749,
Belgium,BE,1750-1774,1750,1762.5,BE-1750-1774,
Belgium,BE,1775-1799,1775,1787.5,BE-1775-1799,
Belgium,BE,1800-1824,1800,1812.5,BE-1800-1824,
Belgium,BE,1825-1849,1825,1837.5,BE-1825-1849,
Belgium,BE,1850-1874,1850,1862.5,BE-1850-1874,
Belgium,BE,1875-1899,1875,1887.5,BE-1875-1899,
Portugal,PT,1500-1524,1500,1512.5,PT-1500-1524,
Portugal,PT,1525-1549,1525,1537.5,PT-1525-1549,
Portugal,PT,1550-1574,1550,1562.5,PT-1550-1574,
Portugal,PT,1575-1599,1575,1587.5,PT-1575-1599,
Portugal,PT,1600-1624,1600,1612.5,PT-1600-1624,
Portugal,PT,1625-1649,1625,1637.5,PT-1625-1649,
Portugal,PT,1650-1674,1650,1662.5,PT-1650-1674,
Portugal,PT,1675-1699,1675,1687.5,PT-1675-1699,
Portugal,PT,1700-1724,1700,1712.5,PT-1700-1724,
Portugal,PT,1725-1749,1725,1737.5,PT-1725-1749,
Portugal,PT,1750-1774,1750,1762.5,PT-1750-1774,
Portugal,PT,1775-1799,1775,1787.5,PT-1775-1799,
Portugal,PT,1800-1824,1800,1812.5,PT-1800-1824,
Portugal,PT,1825-1849,1825,1837.5,PT-1825-1849,
Portugal,PT,1850-1874,1850,1862.5,PT-1850-1874,
Portugal,PT,1875-1899,1875,1887.5,PT-1875-1899,
