nuts_2,country,year,urban_pop_10k,n_cities_10k,largest_city,largest_city_pop,urban_pop_5k,national_urb_ratio,national_total_pop_k,total_pop_est_k,confidence
FRF3,FR,1800,86.0,3,Metz,46.0,136.0,0.1352068966,29000.0,636.0622287961013,high
FRF3,FR,1850,142.0,5,Metz,57.0,181.0,0.1628610729,36350.0,871.9087837963028,high
FRF3,FR,1900,268.0,8,Nancy,103.0,284.0,0.2719099463,40598.0,985.6204366438067,high
FRG0,FR,1500,40.0,3,Nantes,14.0,46.0,0.1259333333,15000.0,317.6283748855554,medium
FRG0,FR,1550,58.0,3,Rennes,21.0,65.0,0.12664234235,16750.0,457.98268512521713,medium
FRG0,FR,1600,84.0,3,Rennes,33.0,103.0,0.1273513514,18500.0,659.5925294594086,high
FRG0,FR,1650,90.0,3,Nantes,32.0,113.0,0.1223809524,21000.0,735.4085601968235,high
FRG0,FR,1700,114.0,4,Nantes,40.0,127.0,0.1381398165,21471.0,825.2508428661478,high
FRG0,FR,1750,138.0,5,Nantes,60.0,157.0,0.1435,24000.0,961.6724738675958,high
FRG0,FR,1800,146.0,4,Nantes,77.0,189.0,0.1352068966,29000.0,1079.8265744678,high
FRG0,FR,1850,200.0,4,Nantes,96.0,259.0,0.1628610729,36350.0,1228.040540558173,high
FRG0,FR,1900,430.0,10,Nantes,133.0,444.0,0.2719099463,40598.0,1581.4059244658092,high
FRH0,FR,1500,0.0,0,,0.0,10.0,0.1259333333,15000.0,,low_no_large_city
FRH0,FR,1550,0.0,0,,0.0,20.0,0.12664234235,16750.0,,low_no_large_city
FRH0,FR,1600,11.0,1,St Malo,11.0,43.0,0.1273513514,18500.0,86.37521219111304,high
FRH0,FR,1650,17.0,1,St Malo,17.0,58.0,0.1223809524,21000.0,138.91050581495554,high
FRH0,FR,1700,50.0,3,St Malo,25.0,94.0,0.1381398165,21471.0,361.9521240640999,high
FRH0,FR,1750,56.0,3,Brest,30.0,103.0,0.1435,24000.0,390.2439024390244,high
FRH0,FR,1800,60.0,3,Brest,26.0,106.0,0.1352068966,29000.0,443.76434567169855,high
FRH0,FR,1850,137.0,6,Brest,61.0,169.0,0.1628610729,36350.0,841.2077702823485,high
FRH0,FR,1900,212.0,7,Brest,84.0,244.0,0.2719099463,40598.0,779.6698976436082,high
FRI1,FR,1500,50.0,1,Bordeaux,50.0,57.0,0.1259333333,15000.0,397.0354686069443,medium
FRI1,FR,1550,45.0,1,Bordeaux,45.0,53.0,0.12664234235,16750.0,355.331393631634,medium
FRI1,FR,1600,50.0,2,Bordeaux,40.0,55.0,0.1273513514,18500.0,392.6146008686956,high
FRI1,FR,1650,52.0,2,Bordeaux,42.0,62.0,0.1223809524,21000.0,424.9027236692758,high
FRI1,FR,1700,55.0,2,Bordeaux,45.0,87.0,0.1381398165,21471.0,398.1473364705099,high
FRI1,FR,1750,73.0,2,Bordeaux,62.0,114.0,0.1435,24000.0,508.7108013937283,high
FRI1,FR,1800,118.0,3,Bordeaux,96.0,200.0,0.1352068966,29000.0,872.7365464876739,high
FRI1,FR,1850,200.0,6,Bordeaux,130.0,283.0,0.1628610729,36350.0,1228.040540558173,high
FRI1,FR,1900,426.0,10,Bordeaux,257.0,479.0,0.2719099463,40598.0,1566.6951716800806,high
FRI2,FR,1500,0.0,0,,0.0,8.0,0.1259333333,15000.0,,low_no_large_city
FRI2,FR,1550,0.0,0,,0.0,7.0,0.12664234235,16750.0,,low_no_large_city
FRI2,FR,1600,0.0,0,,0.0,7.0,0.1273513514,18500.0,,low_no_large_city
FRI2,FR,1650,0.0,0,,0.0,6.0,0.1223809524,21000.0,,low_no_large_city
FRI2,FR,1700,0.0,0,,0.0,15.0,0.1381398165,21471.0,,low_no_large_city
FRI2,FR,1750,10.0,1,Limoges,10.0,38.0,0.1435,24000.0,69.68641114982579,high
FRI2,FR,1800,21.0,1,Limoges,21.0,58.0,0.1352068966,29000.0,155.3175209850945,high
FRI2,FR,1850,79.0,4,Limoges,41.0,100.0,0.1628610729,36350.0,485.07601352047834,high
FRI2,FR,1900,188.0,6,Limoges,84.0,194.0,0.2719099463,40598.0,691.4053809292375,high
FRI3,FR,1500,30.0,2,Poitiers,20.0,41.0,0.1259333333,15000.0,238.22128116416656,medium
FRI3,FR,1550,35.0,2,Poitiers,20.0,58.0,0.12664234235,16750.0,276.3688617134931,medium
FRI3,FR,1600,53.0,3,La Rochelle,23.0,76.0,0.1273513514,18500.0,416.1714769208173,high
FRI3,FR,1650,47.0,3,Poitiers,19.0,77.0,0.1223809524,21000.0,384.04669254723007,high
FRI3,FR,1700,64.0,4,Rochefort,22.0,98.0,0.1381398165,21471.0,463.29871880204786,high
FRI3,FR,1750,64.0,4,Poitiers,18.0,107.0,0.1435,24000.0,445.99303135888505,high
FRI3,FR,1800,103.0,7,Poitiers,20.0,128.0,0.1352068966,29000.0,761.7954600697492,high
FRI3,FR,1850,126.0,7,Poitiers,24.0,152.0,0.1628610729,36350.0,773.665540551649,high
FRI3,FR,1900,215.0,8,Poitiers,40.0,233.0,0.2719099463,40598.0,790.7029622329046,high
FRJ1,FR,1500,28.0,2,Avignon,18.0,59.0,0.1259333333,15000.0,222.3398624198888,medium
FRJ1,FR,1550,35.0,2,Avignon,22.0,74.0,0.12664234235,16750.0,276.3688617134931,medium
FRJ1,FR,1600,70.0,4,Avignon,26.0,112.0,0.1273513514,18500.0,549.6604412161738,high
FRJ1,FR,1650,83.0,4,Avignon,30.0,133.0,0.1223809524,21000.0,678.2101166259595,high
FRJ1,FR,1700,120.0,6,Avignon,34.0,168.0,0.1381398165,21471.0,868.6850977538397,high
FRJ1,FR,1750,135.0,6,Montpellier,35.0,196.0,0.1435,24000.0,940.7665505226481,high
FRJ1,FR,1800,159.0,7,Nimes,41.0,259.0,0.1352068966,29000.0,1175.9755160300012,high
FRJ1,FR,1850,308.0,15,Nimes,53.0,370.0,0.1628610729,36350.0,1891.1824324595864,high
FRJ1,FR,1900,462.0,13,Nimes,81.0,532.0,0.2719099463,40598.0,1699.091946751637,high
FRJ2,FR,1500,30.0,1,Toulouse,30.0,64.0,0.1259333333,15000.0,238.22128116416656,medium
FRJ2,FR,1550,46.0,2,Toulouse,35.0,79.0,0.12664234235,16750.0,363.2276468234481,medium
FRJ2,FR,1600,64.0,3,Toulouse,40.0,110.0,0.1273513514,18500.0,502.54668911193033,high
FRJ2,FR,1650,76.0,4,Toulouse,41.0,116.0,0.1223809524,21000.0,621.0116730550955,high
FRJ2,FR,1700,91.0,5,Toulouse,43.0,126.0,0.1381398165,21471.0,658.7528657966618,high
FRJ2,FR,1750,86.0,4,Toulouse,44.0,159.0,0.1435,24000.0,599.3031358885017,high
FRJ2,FR,1800,142.0,8,Toulouse,50.0,205.0,0.1352068966,29000.0,1050.2422847563532,high
FRJ2,FR,1850,213.0,8,Toulouse,93.0,290.0,0.1628610729,36350.0,1307.8631756944542,high
FRJ2,FR,1900,343.0,10,Toulouse,150.0,405.0,0.2719099463,40598.0,1261.4470513762153,high
FRK1,FR,1500,0.0,0,,0.0,12.0,0.1259333333,15000.0,,low_no_large_city
FRK1,FR,1550,0.0,0,,0.0,23.0,0.12664234235,16750.0,,low_no_large_city
FRK1,FR,1600,0.0,0,,0.0,47.0,0.1273513514,18500.0,,low_no_large_city
FRK1,FR,1650,10.0,1,St Etienne,10.0,54.0,0.1223809524,21000.0,81.7120622440915,high
FRK1,FR,1700,48.0,4,St Etienne,15.0,79.0,0.1381398165,21471.0,347.47403910153594,high
FRK1,FR,1750,77.0,5,Clermont-Ferrand,24.0,121.0,0.1435,24000.0,536.5853658536586,high
FRK1,FR,1800,91.0,6,Clermont-Ferrand,24.0,165.0,0.1352068966,29000.0,673.0425909354095,high
FRK1,FR,1850,187.0,9,St Etienne,54.0,239.0,0.1628610729,36350.0,1148.2179054218918,high
FRK1,FR,1900,352.0,9,St Etienne,147.0,398.0,0.2719099463,40598.0,1294.5462451441042,high
FRK2,FR,1500,35.0,1,Lyon,35.0,51.0,0.1259333333,15000.0,277.924828024861,medium
FRK2,FR,1550,35.0,1,Lyon,35.0,56.0,0.12664234235,16750.0,276.3688617134931,medium
FRK2,FR,1600,47.0,2,Lyon,35.0,64.0,0.1273513514,18500.0,369.05772481657385,high
